Process Name,PID,DLLs
System,4,""
Registry,144,""
smss.exe,608,""
wininit.exe,856,""
svchost.exe,868,""
csrss.exe,932,""
csrss.exe,1028,""
svchost.exe,1032,""
services.exe,1092,""
winlogon.exe,1124,""
ETDCtrlHelper.exe,1140,""
LsaIso.exe,1180,""
lsass.exe,1192,""
dwm.exe,1304,""
svchost.exe,1320,""
WUDFHost.exe,1332,""
fontdrvhost.exe,1380,""
fontdrvhost.exe,1388,""
svchost.exe,1436,""
svchost.exe,1584,""
svchost.exe,1648,""
svchost.exe,1748,""
svchost.exe,1780,""
svchost.exe,1800,""
svchost.exe,1808,""
svchost.exe,1824,""
svchost.exe,1848,""
svchost.exe,1932,""
PowerToys.FancyZones.exe,1944,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; USER32.dll; dbghelp.dll; win32u.dll; ucrtbase.dll; GDI32.dll; combase.dll; RPCRT4.dll,; gdi32full.dll; OLEAUT32.dll; msvcp_win.dll; ADVAPI32.dll; msvcrt.dll; sechost.dll; bcrypt.dll; shcore.dll; SHELL32.dll; dwmapi.dll; UxTheme.dll; ole32.dll; DWrite.dll; d2d1.dll; IMM32.DLL; bcryptPrimitives.dll; kernel.appcore.dll; windows.storage.dll; wintypes.dll; shlwapi.dll; clbcatq.dll; Windows.Web.dll; MSCTF.dll; twinapi.dll; wbemprox.dll; wbemcomn.dll; wbemsvc.dll; fastprox.dll; amsi.dll; USERENV.dll; profapi.dll; MpOav.dll; version.dll; textinputframework.dll; dxgi.dll; dxcore.dll; directxdatabasehelper.dll; d3d11.dll; aticfx64.dll; WINMM.dll; atiuxp64.dll; atidxx64.dll; SETUPAPI.dll; cfgmgr32.DLL; apphelp.dll; amdihk64.dll; D3DSCache.dll; twinapi.appcore.dll; OneCoreUAPCommonProxyStub.dll"
svchost.exe,2004,""
svchost.exe,2012,""
WmiPrvSE.exe,2040,""
svchost.exe,2056,""
svchost.exe,2100,""
